ROM Name;Description;Category;Year;Manufacturer;CHD name;Set;P/C;1g1r;exclusion notes
2020bbh;2020 Super Baseball (set 2);Sports / Baseball;1991;SNK / Pallas;;2020bb;C;0;Clone
3countb;3 Count Bout / Fire Suplex (NGM-043 ~ NGH-043);Wrestling;1993;SNK;;3countb;P;1;
3in1semi;3-in-1 (SemiCom);Uncategorized;1997;SemiCom;;3in1semi;P;1;
4enraya;4 En Raya;Tabletop;1990;IDSA;;4enraya;P;0;Tabletop
4in1;4 Fun in 1;Multiplay;1981;Armenia / Food and Fun;;4in1;P;1;
bowler;4 Player Bowling Alley;Sports / Bowling;1978;Midway;;bowler;P;1;
4dwarrio;4-D Warriors;Shooter / Flying Horizontal;1985;Coreland / Sega;;4dwarrio;P;1;
4in1boot;4-in-1 bootleg;Multiplay;;bootleg;;4in1boot;P;0;Bootleg
64streej;64th. Street - A Detective Story (Japan);Beat Em Up;1991;Jaleco;;64street;C;0;Clone
64street;64th. Street - A Detective Story (World);Beat Em Up;1991;Jaleco;;64street;P;1;
720gr1;720 Degrees (German, rev 1);Sports / Skateboarding;1986;Atari Games;;720;C;0;Clone
720g;720 Degrees (German, rev 2);Sports / Skateboarding;1986;Atari Games;;720;C;0;Clone
720r1;720 Degrees (rev 1);Sports / Skateboarding;1986;Atari Games;;720;C;0;Clone
720r2;720 Degrees (rev 2);Sports / Skateboarding;1986;Atari Games;;720;C;0;Clone
720r3;720 Degrees (rev 3);Sports / Skateboarding;1986;Atari Games;;720;C;0;Clone
720;720 Degrees (rev 4);Sports / Skateboarding;1986;Atari Games;;720;P;1;
7jigen;7jigen no Youseitachi - Mahjong 7 Dimensions (Japan);Tabletop / Mahjong * Mature *;1990;Dynax;;7jigen;P;0;Mature
800fath;800 Fathoms;Shooter / Misc. Horizontal;1981;Amenip (US Billiards Inc. license);;mariner;C;0;Clone
88games;'88 Games;Sports / Track & Field;1988;Konami;;88games;P;1;
flagrall;'96 Flag Rally;no_catver;1996;Promat?;;flagrall;P;1;
99lstwar;'99: The Last War;Shooter / Gallery;1985;Proma;;sonofphx;C;0;Clone
99lstwra;'99: The Last War (alternate);Shooter / Gallery;1985;Proma;;sonofphx;C;0;Clone
9ballsht;9-Ball Shootout (set 1);Uncategorized;1993;E-Scape EnterMedia (Bundra license);;coolpool;C;0;Clone
9ballsh2;9-Ball Shootout (set 2);Uncategorized;1993;E-Scape EnterMedia (Bundra license);;coolpool;C;0;Clone
9ballsh3;9-Ball Shootout (set 3);Uncategorized;1993;E-Scape EnterMedia (Bundra license);;coolpool;C;0;Clone
ace;Ace;Shooter / Field;1976;Allied Leisure;;ace;P;1;
aceattac;Ace Attacker;Uncategorized;;Sega;;aceattac;P;1;
victlapw;Ace Driver - Victory Lap (Rev. ADV2, World);Uncategorized;1996;Namco;;victlapw;P;1;
acedrvrw;Ace Driver (Rev. AD2, World);Uncategorized;1994;Namco;;acedrvrw;P;1;
acrobatm;Acrobat Mission;Shooter / Flying Vertical;1991;UPL (Taito license);;acrobatm;P;1;
dogfgt;Acrobatic Dog-Fight;Shooter / Flying;1984;Technos;;dogfgt;P;1;
actfancj;Act-Fancer Cybernetick Hyper Weapon (Japan revision 1);Platform / Shooter Scrolling;1989;Data East Corporation;;actfancr;C;0;Clone
actfanc1;Act-Fancer Cybernetick Hyper Weapon (World revision 1);Platform / Shooter Scrolling;1989;Data East Corporation;;actfancr;C;0;Clone
actfancr;Act-Fancer Cybernetick Hyper Weapon (World revision 2);Platform / Shooter Scrolling;1989;Data East Corporation;;actfancr;P;1;
afighter;Action Fighter;Uncategorized;;Sega;;afighter;P;1;
hatena;Adventure Quiz 2 Hatena Hatena no Dai-Bouken (Japan);Quiz / Japanese;1990;Capcom;;hatena;P;0;Quiz
aerofgt;Aero Fighters;Shooter / Flying Vertical;1992;Video System Co.;;aerofgt;P;1;
aerofgtb;Aero Fighters (Turbo Force hardware set 1);Shooter / Flying Vertical;1992;Video System Co.;;aerofgt;C;0;Clone
aerofgtc;Aero Fighters (Turbo Force hardware set 2);Shooter / Flying Vertical;1992;Video System Co.;;aerofgt;C;0;Clone
sonicwi2;Aero Fighters 2 / Sonic Wings 2;Shooter / Flying Vertical;1994;Video System Co.;;sonicwi2;P;1;
sonicwi3;Aero Fighters 3 / Sonic Wings 3;Shooter / Flying Vertical;1995;Video System Co.;;sonicwi3;P;1;
aeroboto;Aeroboto;Shooter / Misc. Horizontal;1984;[Jaleco] (Williams license);;formatz;C;0;Clone
aburner;After Burner (Japan);Shooter / Flying (chase view);1987;Sega;;aburner2;C;0;Clone
aburner2;After Burner II;Shooter / Flying (chase view);1987;Sega;;aburner2;P;1;
aodk;Aggressors of Dark Kombat / Tsuukai GANGAN Koushinkyoku;Fighter / Versus;1994;ADK / SNK;;aodk;P;1;
koshien;Ah Eikou no Koshien (Japan);Sports / Baseball;1990;Taito Corporation;;koshien;P;0;JP Exclusive Sports
airattck;Air Attack (set 1);no_catver;1996;Comad;;airattck;P;1;
airattcka;Air Attack (set 2);no_catver;1996;Comad;;airattck;C;0;Clone
airbustr;Air Buster;Shooter / Flying Horizontal;1990;Kaneko (Namco license);;airbustr;P;1;
airbustj;Air Buster (Japan);Shooter / Flying Horizontal;1990;Kaneko (Namco license);;airbustr;C;0;Clone
aircombj;Air Combat (Japan);Shooter / Flying 1st Person;1992;Namco;;aircombj;P;0;US Clone Available
aircombu;Air Combat (US);Shooter / Flying 1st Person;1992;Namco;;aircombj;C;1;
airco22b;Air Combat 22 (Rev. ACS1 Ver.B);Uncategorized;1995;Namco;;airco22b;P;1;
airduel;Air Duel (Japan);Shooter / Flying Vertical;1990;Irem;;airduel;P;1;
agallet;Air Gallet;Shooter / Flying Vertical;1996;Banpresto / Gazelle;;agallet;P;1;
ainferno;Air Inferno (US);Shooter / Flying 1st Person;1990;Taito America Corporation;;ainferno;P;1;
airraid;Air Raid (encrypted);Uncategorized;1987;Seibu Kaihatsu;;cshooter;C;0;Clone
arescue;Air Rescue;no_catver;1992;Sega;;arescue;P;1;
airwolf;Airwolf;Shooter / Flying Horizontal;1987;Kyugo;;airwolf;P;1;
ajax;Ajax;Shooter / Flying Vertical;1987;Konami;;ajax;P;1;
ajaxj;Ajax (Japan);Shooter / Flying Vertical;1987;Konami;;ajax;C;0;Clone
akkanvdr;Akkanvader (Japan);Shooter / Gallery;1995;Taito Corporation;;spcinv95;C;0;Clone
hcastljo;Akuma-Jou Dracula (Japan version N);Platform / Fighter Scrolling;1988;Konami;;hcastle;C;0;Clone
hcastlej;Akuma-Jou Dracula (Japan version P);Platform / Fighter Scrolling;1988;Konami;;hcastle;C;0;Clone
alcon;Alcon;Uncategorized;1986;Taito America Corp;;slapfigh;C;0;Clone
alexkidd;Alex Kidd: The Lost Stars (set 1);Uncategorized;1986;Sega;;alexkidd;P;1;
alexkida;Alex Kidd: The Lost Stars (set 2);Platform / Run Jump Scrolling;1986;Sega;;alexkidd;C;0;Clone
alibaba;Ali Baba and 40 Thieves;Maze;1982;Sega;;alibaba;P;1;
alienar;Alien Arena;no_catver;1985;Duncan Brown;;alienar;P;1;
alienaru;Alien Arena (Stargate upgrade);no_catver;1985;Duncan Brown;;alienaru;P;1;
alieninv;Alien Invasion Part II;Shooter / Gallery;;bootleg;;invaders;C;0;Clone
astorm;Alien Storm;Uncategorized;1990;Sega;;astorm;P;1;
astorm2p;Alien Storm (2 Player);Uncategorized;1990;Sega;;astorm;C;0;Clone
astormbl;Alien Storm (bootleg);Platform / Shooter Scrolling;1990;bootleg;;astorm;C;0;Clone
aliensyj;Alien Syndrome (Japan);Uncategorized;1987;Sega;;aliensyn;C;0;Clone
aliensyn;Alien Syndrome (set 1);Maze / Shooter Large;1987;Sega;;aliensyn;P;1;
aliensya;Alien Syndrome (set 2);Uncategorized;1987;Sega;;aliensyn;C;0;Clone
aliensyb;Alien Syndrome (set 3);Uncategorized;1987;Sega;;aliensyn;C;0;Clone
avspa;Alien vs. Predator (Asia 940520);Uncategorized;1994;Capcom;;avsp;C;0;Clone
avsp;Alien vs. Predator (Euro 940520);Beat Em Up;1994;Capcom;;avsp;P;0;US Clone Available
avspj;Alien vs. Predator (Japan 940520);Beat Em Up;1994;Capcom;;avsp;C;0;Clone
avspu;Alien vs. Predator (USA 940520);Beat Em Up;1994;Capcom;;avsp;C;1;
alien3;Alien3: The Gun;Lightgun;1993;Sega;;alien3;P;0;Lightgun
aliensj;Aliens (Japan);Platform / Shooter Scrolling;1990;Konami;;aliens;C;0;Clone
aliensu;Aliens (US);Platform / Shooter Scrolling;1990;Konami;;aliens;C;0;Clone
aliens;Aliens (World set 1);Platform / Shooter Scrolling;1990;Konami;;aliens;P;1;
aliens2;Aliens (World set 2);Platform / Shooter Scrolling;1990;Konami;;aliens;C;0;Clone
aafbb;All American Football (rev B);Sports / Football Amer.;1989;Leland Corp.;;aafb;C;0;Clone
aafbc;All American Football (rev C);Sports / Football Amer.;1989;Leland Corp.;;aafb;C;0;Clone
aafbd2p;All American Football (rev D, 2 Players);Sports / Football Amer.;1989;Leland Corp.;;aafb;C;0;Clone
aafb;All American Football (rev E);Sports / Football Amer.;1989;Leland Corp.;;aafb;P;1;
alleymas;Alley Master;Sports / Bowling;1986;Cinematronics;;alleymas;P;1;
aligator;Alligator Hunt;Uncategorized;1994;Gaelco;;aligator;P;1;
aligatun;Alligator Hunt (unprotected);Shooter / 3rd Person;1994;Gaelco;;aligator;C;0;Clone
alphaho;Alpha Fighter - Head On;Multiplay;;Data East Corporation;;alphaho;P;1;
alpham2;Alpha Mission II / ASO II - Last Guardian;Shooter / Flying Vertical;1991;SNK;;alpham2;P;1;
alphaone;Alpha One (prototype, 3 lives);Shooter / Misc.;1983;Atari;;mhavoc;C;0;Clone
alphaona;Alpha One (prototype, 5 lives);Shooter / Misc.;1983;Atari;;mhavoc;C;0;Clone
alpinerc;Alpine Racer (Rev. AR2 Ver.C);Uncategorized;1995;Namco;;alpinerd;C;0;Clone
alpinerd;Alpine Racer (Rev. AR2 Ver.D);Uncategorized;1995;Namco;;alpinerd;P;1;
alpine;Alpine Ski (set 1);Sports / Skiing;1982;Taito Corporation;;alpine;P;1;
alpinea;Alpine Ski (set 2);Sports / Skiing;1982;Taito Corporation;;alpine;C;0;Clone
altbeast;Altered Beast (Version 1);Platform / Fighter Scrolling;1988;Sega;;altbeast;P;1;
altbeas2;Altered Beast (Version 2);Platform / Fighter Scrolling;1988;Sega;;altbeast;C;0;Clone
maze;Amazing Maze;Maze;1976;Midway;;maze;P;1;
ambush;Ambush;Shooter / Flying (chase view);1983;Nippon Amuse Co-Ltd;;ambush;P;1;
ambusht;Ambush (Tecfri);Shooter / Flying (chase view);1983;Tecfri;;ambush;C;0;Clone
horshoes;American Horseshoes (US);Sports / Horseshoes;1990;Taito America Corporation;;horshoes;P;1;
amspdwy;American Speedway (set 1);Driving / Race Track;1987;Enerdyne Technologies, Inc.;;amspdwy;P;1;
amspdwya;American Speedway (set 2);Driving / Race Track;1987;Enerdyne Technologies, Inc.;;amspdwy;C;0;Clone
amerdart;AmeriDarts;Uncategorized;1989;Ameri;;amerdart;P;1;
amidar;Amidar;Maze / Outline;1981;Konami;;amidar;P;1;
amidaro;Amidar (Olympia);Maze / Outline;1982;Konami (Olympia license);;amidar;C;0;Clone
amidars;Amidar (Scramble hardware);Maze / Outline;1982;Konami;;amidar;C;0;Clone
amidaru;Amidar (Stern);Maze / Outline;1982;Konami (Stern license);;amidar;C;0;Clone
amigo;Amigo;Maze / Outline;1982;bootleg;;amidar;C;0;Clone
androdun;Andro Dunos;Shooter / Flying Horizontal;1992;Visco;;androdun;P;1;
andromed;Andromeda (Japan[Q]);Uncategorized;1979;Irem;;andromed;P;1;
angelkds;Angel Kids (Japan);Climbing;1988;Sega / Nasco?;;angelkds;P;1;
anteater;Anteater;Maze;1982;[Stern] (Tago license);;anteater;P;1;
apbf;APB - All Points Bulletin (French);Driving;1987;Atari Games;;apb;C;0;Clone
apbg;APB - All Points Bulletin (German);Driving;1987;Atari Games;;apb;C;0;Clone
apb1;APB - All Points Bulletin (rev 1);Driving;1987;Atari Games;;apb;C;0;Clone
apb2;APB - All Points Bulletin (rev 2);Driving;1987;Atari Games;;apb;C;0;Clone
apb3;APB - All Points Bulletin (rev 3);Driving;1987;Atari Games;;apb;C;0;Clone
apb4;APB - All Points Bulletin (rev 4);Driving;1987;Atari Games;;apb;C;0;Clone
apb5;APB - All Points Bulletin (rev 5);Driving;1987;Atari Games;;apb;C;0;Clone
apb6;APB - All Points Bulletin (rev 6);Driving;1987;Atari Games;;apb;C;0;Clone
apb;APB - All Points Bulletin (rev 7);Driving;1987;Atari Games;;apb;P;1;
aponow;Apocaljpse Now;Shooter / Flying;1982;bootleg;;rescue;C;0;Clone
apparel;Apparel Night (Japan 860929);Tabletop / Mahjong * Mature *;1986;Central Denshi;;apparel;P;0;Mature
appoooh;Appoooh;Wrestling;1984;[Sanritsu] Sega;;appoooh;P;1;
aquajckj;Aqua Jack (Japan);Shooter / Driving (chase view);1990;Taito Corporation;;aquajack;C;0;Clone
aquajack;Aqua Jack (World);Shooter / Driving (chase view);1990;Taito Corporation Japan;;aquajack;P;1;
aquarush;Aqua Rush (AQ1-VER.A);Uncategorized;1999;Namco;;aquarush;P;1;
aquarium;Aquarium (Japan);Puzzle / Drop;1996;Excellent System;;aquarium;P;1;
arabian;Arabian;Platform / Run Jump;1983;Sun Electronics;;arabian;P;1;
arabiana;Arabian (Atari);Platform / Run Jump;1983;[Sun Electronics] (Atari license);;arabian;C;0;Clone
arabfgt;Arabian Fight;Fighter / Field;1992;Sega;;arabfgt;P;1;
arabiamj;Arabian Magic (Japan);Beat Em Up;1992;Taito Corporation;;arabianm;C;0;Clone
arabiamu;Arabian Magic (US);Beat Em Up;1992;Taito America Corporation;;arabianm;C;0;Clone
arabianm;Arabian Magic (World);Beat Em Up;1992;Taito Corporation Japan;;arabianm;P;1;
arbalest;Arbalester;Shooter / Flying Vertical;1989;Seta;;arbalest;P;1;
arcadecl;Arcade Classics (prototype);Multiplay;1992;Atari Games;;arcadecl;P;0;Prototype
archriv2;Arch Rivals (rev 2.0);Sports / Basketball;1989;Bally Midway;;archrivl;C;0;Clone
archrivl;Arch Rivals (rev 4.0);Sports / Basketball;1989;Bally Midway;;archrivl;P;1;
area51;Area 51;Lightgun;1995;Atari Games;area51.chd;area51;P;0;Lightgun
a51mxr3k;Area 51 - Maximum Force Duo (R3000);Lightgun;1998;Atari Games;area51mx.chd;area51mx;C;0;Lightgun
area51mx;Area 51 - Maximum Force Duo v2.0;Lightgun;1998;Atari Games;area51mx.chd;area51mx;P;0;Lightgun
area88;Area 88 (Japan);Shooter / Flying Horizontal;1989;Capcom;;unsquad;C;0;Clone
lwingsjp;Ares no Tsubasa (Japan);Shooter / Flying Vertical;1986;Capcom;;lwings;C;0;Clone
argus;Argus;Shooter / Flying Vertical;1986;[NMK] (Jaleco license);;argus;P;1;
rygarj;Argus no Senshi (Japan);Platform / Fighter Scrolling;1986;Tecmo;;rygar;C;0;Clone
arkarea;Ark Area;Shooter / Field;;UPL;;arkarea;P;1;
arknid2j;Arkanoid - Revenge of DOH (Japan);Ball & Paddle / Breakout;1987;Taito Corporation;;arknoid2;C;0;Clone
arknid2u;Arkanoid - Revenge of DOH (US);Ball & Paddle / Breakout;1987;Taito America Corporation (Romstar license);;arknoid2;C;0;Clone
arknoid2;Arkanoid - Revenge of DOH (World);Ball & Paddle / Breakout;1987;Taito Corporation Japan;;arknoid2;P;1;
arkangc;Arkanoid (Game Corporation bootleg);Ball & Paddle / Breakout;1986;bootleg;;arkanoid;C;0;Clone
arknoidj;Arkanoid (Japan);Ball & Paddle / Breakout;1986;Taito Corporation;;arkanoid;C;0;Clone
arkbl2;Arkanoid (Japanese bootleg Set 2);Uncategorized;1986;bootleg;;arkanoid;C;0;Clone
arkbl3;Arkanoid (Japanese bootleg Set 3);Uncategorized;1986;bootleg;;arkanoid;C;0;Clone
arkatayt;Arkanoid (Tayto bootleg, Japanese);Ball & Paddle / Breakout;1986;bootleg;;arkanoid;C;0;Clone
arknoidu;Arkanoid (US);Ball & Paddle / Breakout;1986;Taito America Corporation (Romstar license);;arkanoid;C;0;Clone
arknoiuo;Arkanoid (US, older);Ball & Paddle / Breakout;1986;Taito America Corporation (Romstar license);;arkanoid;C;0;Clone
arkanoid;Arkanoid (World);Ball & Paddle / Breakout;1986;Taito Corporation Japan;;arkanoid;P;1;
arkretrn;Arkanoid Returns (Japan);Ball & Paddle / Breakout;1997;Taito Corporation;;arkretrn;P;1;
arlingtn;Arlington Horse Racing (v1.21-D);Sports / Horse Racing;1991;Strata/Incredible Technologies;;arlingtn;P;1;
armwrest;Arm Wrestling;Sports / Armwrestling;1985;Nintendo;;armwrest;P;1;
armedf;Armed Formation;Shooter / Flying Vertical;1988;Nichibutsu;;armedf;P;1;
batridra;Armed Police Batrider (Japan, version A);Shooter / Flying Vertical;1998;Raizing / Eighting;;batrider;C;0;Clone
batrider;Armed Police Batrider (Japan, version B);Shooter / Flying Vertical;1998;Raizing / Eighting;;batrider;P;1;
batridrk;Armed Police Batrider (Korea, version B);Shooter / Flying Vertical;1998;Raizing / Eighting;;batrider;C;0;Clone
armora;Armor Attack;Maze / Shooter Small;1980;Cinematronics;;armora;P;1;
armorap;Armor Attack (prototype);Maze / Shooter Small;1980;Cinematronics;;armora;C;0;Clone
armorar;Armor Attack (Rock-ola);Maze / Shooter Small;1980;Cinematronics (Rock-ola license);;armora;C;0;Clone
armorcar;Armored Car (set 1);Maze;1981;Stern;;armorcar;P;1;
armorca2;Armored Car (set 2);Maze;1981;Stern;;armorcar;C;0;Clone
armwara;Armored Warriors (Asia 940920);Platform / Fighter Scrolling;1994;Capcom;;armwar;C;0;Clone
armwar;Armored Warriors (Euro 941011);Platform / Fighter Scrolling;1994;Capcom;;armwar;P;1;
armwaru;Armored Warriors (USA 941024);Platform / Fighter Scrolling;1994;Capcom;;armwar;C;0;Clone
aof;Art of Fighting / Ryuuko no Ken;Fighter / Versus;1992;SNK;;aof;P;1;
aof2;Art of Fighting 2 / Ryuuko no Ken 2;Fighter / Versus;1994;SNK;;aof2;P;1;
aof3;Art of Fighting 3 - The Path of the Warrior / Art of Fighting - Ryuuko no Ken Gaiden;Fighter / Versus;1996;SNK;;aof3;P;1;
ashnojoe;Ashita no Joe (Japan);Sports / Boxing;1990;WAVE / Taito Corporation;;ashnojoe;P;1;
ashura;Ashura Blaster (Japan);Shooter / Flying Vertical;1990;Taito Corporation;;ashura;P;0;US Clone Available
ashurau;Ashura Blaster (US);Shooter / Flying Vertical;1990;Taito America Corporation;;ashura;C;1;
aso;ASO - Armored Scrum Object;Shooter / Flying Vertical;1985;SNK;;aso;P;1;
assault;Assault;Shooter / Driving;1988;Namco;;assault;P;1;
assaultj;Assault (Japan);Shooter / Driving;1988;Namco;;assault;C;0;Clone
assaultp;Assault Plus (Japan);Shooter / Driving;1988;Namco;;assault;C;0;Clone
astrxeaa;Asterix (World ver. EAA);Beat Em Up;1992;Konami;;asterix;C;0;Clone
astrxeac;Asterix (World ver. EAC);Beat Em Up;1992;Konami;;asterix;C;0;Clone
asterix;Asterix (World ver. EAD);Beat Em Up;1992;Konami;;asterix;P;1;
asterock;Asterock;Shooter / Field;1979;Sidam;;asteroid;C;0;Clone
asteroib;Asteroids (bootleg on Lunar Lander hardware);Shooter / Field;1979;bootleg;;asteroid;C;0;Clone
asteroi1;Asteroids (rev 1);Shooter / Field;1979;Atari;;asteroid;C;0;Clone
asteroid;Asteroids (rev 2);Shooter / Field;1979;Atari;;asteroid;P;1;
astdelu1;Asteroids Deluxe (rev 1);Shooter / Field;1980;Atari;;astdelux;C;0;Clone
astdelux;Asteroids Deluxe (rev 2);Shooter / Field;1980;Atari;;astdelux;P;1;
astrass;Astra SuperStars;Uncategorized;1998;Sunsoft;;astrass;P;1;
astrob1;Astro Blaster (version 1);Shooter / Gallery;1981;Sega;;astrob;C;0;Clone
astrob2;Astro Blaster (version 2);Shooter / Gallery;1981;Sega;;astrob;C;0;Clone
astrob;Astro Blaster (version 3);Shooter / Gallery;1981;Sega;;astrob;P;1;
astrof;Astro Fighter (set 1);Shooter / Gallery;1979;Data East;;astrof;P;1;
astrof2;Astro Fighter (set 2);Shooter / Gallery;1979;Data East;;astrof;C;0;Clone
astrof3;Astro Fighter (set 3);Shooter / Gallery;1979;Data East;;astrof;C;0;Clone
astrofl;Astro Flash (Japan);Shooter / Flying Horizontal;1986;Sega;;transfrm;C;0;Clone
astinvad;Astro Invader;Shooter / Gallery;1980;Stern;;astinvad;P;1;
asuka;Asuka and Asuka (Japan);Shooter / Flying Vertical;1988;Taito Corporation;;asuka;P;1;
asurabld;Asura Blade - Sword of Dynasty;Fighter / Versus;1998;Fuuki;;asurabld;P;1;
asurabus;Asura Buster - Eternal Warriors;no_catver;2000;Fuuki;;asurabus;P;1;
asylum;Asylum (prototype);Shooter / Walking;1991;Leland Corp.;;asylum;P;0;Prototype
abaseb;Atari Baseball (set 1);Sports / Baseball;1979;Atari;;abaseb;P;1;
abaseb2;Atari Baseball (set 2);Sports / Baseball;1979;Atari;;abaseb;C;0;Clone
atarifb4;Atari Football (4 players);Sports / Football Amer.;1979;Atari;;atarifb;C;0;Clone
atarifb1;Atari Football (revision 1);Sports / Football Amer.;1978;Atari;;atarifb;C;0;Clone
atarifb;Atari Football (revision 2);Sports / Football Amer.;1978;Atari;;atarifb;P;1;
soccer;Atari Soccer;Sports / Soccer;1980;Atari;;soccer;P;1;
ataxxj;Ataxx (Japan);Tabletop;1990;Leland Corp.;;ataxx;C;0;Tabletop
ataxx;Ataxx (set 1);Tabletop;1990;Leland Corp.;;ataxx;P;0;Tabletop
ataxxa;Ataxx (set 2);Tabletop;1990;Leland Corp.;;ataxx;C;0;Tabletop
athena;Athena;Platform / Fighter Scrolling;1986;SNK;;athena;P;1;
atehate;Athena no Hatena [Q];Quiz / Japanese;1993;Athena;;atehate;P;0;Quiz
acitya;Atlantic City Action;Tabletop / Casino;1983;Epos Corporation;;bwcasino;C;0;Tabletop / Casino
atomboy;Atomic Boy;Platform / Run Jump Scrolling;1985;Irem (Memetron license);;wilytowr;C;0;Clone
atomicp;Atomic Point;Puzzle / Drop;1990;Philko;;atomicp;P;1;
robokid;Atomic Robo-kid;Shooter / Flying Horizontal;1988;UPL;;robokid;P;1;
robokidj;Atomic Robo-kid (Japan);Shooter / Flying Horizontal;1988;UPL;;robokid;C;0;Clone
aurail;Aurail (set 1);Shooter / Driving Vertical;1990;Sega / Westone;;aurail;P;1;
auraila;Aurail (set 2);Shooter / Driving Vertical;1990;Sega / Westone;;aurail;C;0;Clone
av2mj1bb;AV2Mahjong No.1 Bay Bridge no Seijo (Japan);Tabletop / Mahjong * Mature *;1991;MIKI SYOUJI/AV JAPAN;;av2mj1bb;P;0;Mature
av2mj2rg;AV2Mahjong No.2 Rouge no Kaori (Japan);Tabletop / Mahjong * Mature *;1991;MIKI SYOUJI/AV JAPAN;;av2mj2rg;P;0;Mature
avalnche;Avalanche;Ball & Paddle;1978;Atari;;avalnche;P;1;
avengers;Avengers (US set 1);Fighter / Vertical;1987;Capcom;;avengers;P;1;
avenger2;Avengers (US set 2);Fighter / Vertical;1987;Capcom;;avengers;C;0;Clone
avengrgsj;Avengers In Galactic Storm (Japan 1.2);no_catver;1995;Data East Corporation;;avengrgs;C;0;Clone
avengrgs;Avengers In Galactic Storm (US/Europe 1.0);Uncategorized;1995;Data East Corporation;;avengrgs;P;1;
avspirit;Avenging Spirit;Platform / Fighter Scrolling;1991;Jaleco;;avspirit;P;1;
aztarac;Aztarac;Shooter / Field;1983;Centuri;;aztarac;P;1;
azurian;Azurian Attack;Shooter / Field;1982;Rait Electronics Ltd;;azurian;P;1;
bcstry;B.C. Story (set 1);Uncategorized;1997;SemiCom;;bcstry;P;1;
bcstrya;B.C. Story (set 2);no_catver;1997;SemiCom;;bcstry;C;0;Clone
brapboys;B.Rap Boys (World);Uncategorized;1992;Kaneko;;brapboys;P;1;
brapboysj;B.Rap Boys Special (Japan);no_catver;1992;Kaneko;;brapboys;C;0;Clone
bssoccer;Back Street Soccer;Sports / Soccer;1996;SunA;;bssoccer;P;1;
backfire;Backfire!;no_catver;1995;Data East Corporation;;backfire;P;1;
baddudes;Bad Dudes vs. Dragonninja (US);Platform / Fighter Scrolling;1988;Data East USA;;baddudes;P;1;
badlands;Bad Lands;Driving / Race Track;1989;Atari Games;;badlands;P;1;
bagman;Bagman;Platform / Run Jump;1982;Valadon Automation;;bagman;P;1;
bagmanmc;Bagman (Moon Cresta hardware);Platform / Run Jump;1982;bootleg;;bagman;C;0;Clone
bagmans;Bagman (Stern set 1);Platform / Run Jump;1982;Valadon Automation (Stern license);;bagman;C;0;Clone
bagmans2;Bagman (Stern set 2);Platform / Run Jump;1982;Valadon Automation (Stern license);;bagman;C;0;Clone
bakatono;Bakatonosama Mahjong Manyuki;Tabletop / Mahjong * Mature *;1991;Monolith Corp.;;bakatono;P;0;Mature
bakubaku;Baku Baku Animal;Puzzle / Drop;1996;Sega;;bakubaku;P;1;
bakubrkr;Bakuretsu Breaker;Shooter / Flying Vertical;1992;Kaneko;;bakubrkr;P;1;
